Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts4,Chrome 103.0.5060.134,,,2022-08-09 13:38:08,2022-08-09 14:05:28,27m - 19.545s,PASSED
,,,,,,,
Test Cases/tc4,Chrome 103.0.5060.134,,,2022-08-09 13:38:10,2022-08-09 14:05:28,27m - 17.648s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:38:14,2022-08-09 13:38:33,18.952s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:33,2022-08-09 13:38:35,2.737s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc4d@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:35,2022-08-09 13:38:40,4.756s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:38:40,2022-08-09 13:38:58,18.296s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:58,2022-08-09 13:39:00,1.628s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:00,2022-08-09 13:39:03,2.750s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:03,2022-08-09 13:39:05,2.166s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:05,2022-08-09 13:39:06,1.118s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:06,2022-08-09 13:39:07,0.959s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0027 6000 0016"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:07,2022-08-09 13:39:11,4.086s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:39:11,2022-08-09 13:39:16,4.682s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:16,2022-08-09 13:39:21,5.333s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:21,2022-08-09 13:39:27,5.729s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:39:27,2022-08-09 13:39:27,0.074s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:27,2022-08-09 13:39:27,0.030s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:27,2022-08-09 13:55:00,15m - 33.026s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:36,36.051s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:36,2022-08-09 13:55:37,1.143s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:37,2022-08-09 13:55:38,0.762s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:38,0.019s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 14:05:00,9m - 21.803s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:18,18.645s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:18,2022-08-09 14:05:28,9.453s,PASSED
