Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts6,Chrome 103.0.5060.134,,,2022-08-09 13:38:53,2022-08-09 14:05:32,26m - 38.558s,PASSED
,,,,,,,
Test Cases/tc6,Chrome 103.0.5060.134,,,2022-08-09 13:38:56,2022-08-09 14:05:32,26m - 35.502s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:38:59,2022-08-09 13:39:25,26.166s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:25,2022-08-09 13:39:33,7.347s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc6f@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:33,2022-08-09 13:39:36,3.711s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:39:36,2022-08-09 13:39:51,15.054s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:51,2022-08-09 13:39:56,4.698s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:56,2022-08-09 13:39:57,1.374s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:57,2022-08-09 13:39:59,2.030s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:59,2022-08-09 13:40:04,4.844s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:04,2022-08-09 13:40:06,1.595s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0030 0000 0030"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:06,2022-08-09 13:40:07,1.213s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:40:07,2022-08-09 13:40:13,5.856s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:13,2022-08-09 13:40:14,1.157s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:14,2022-08-09 13:40:15,1.023s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:40:15,2022-08-09 13:40:16,0.435s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:16,2022-08-09 13:40:16,0.010s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:16,2022-08-09 13:55:00,14m - 44.876s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:38,37.171s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:42,4.692s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:42,2022-08-09 13:55:43,0.364s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:43,2022-08-09 13:55:43,0.004s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:43,2022-08-09 14:05:00,9m - 17.377s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:24,23.504s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:24,2022-08-09 14:05:31,7.186s,PASSED
