Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts7,Chrome 103.0.5060.134,,,2022-08-09 13:39:22,2022-08-09 14:05:37,26m - 14.630s,PASSED
,,,,,,,
Test Cases/tc7,Chrome 103.0.5060.134,,,2022-08-09 13:39:25,2022-08-09 14:05:37,26m - 11.656s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:39:30,2022-08-09 13:39:54,24.361s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:54,2022-08-09 13:40:01,6.396s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc7g@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:01,2022-08-09 13:40:05,4.260s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:40:05,2022-08-09 13:40:27,21.405s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:27,2022-08-09 13:40:28,0.998s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:28,2022-08-09 13:40:29,1.101s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:29,2022-08-09 13:40:30,1.281s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:30,2022-08-09 13:40:33,3.232s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:33,2022-08-09 13:40:36,2.346s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0034 8000 0005"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:36,2022-08-09 13:40:37,1.203s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:40:37,2022-08-09 13:40:44,7.136s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:44,2022-08-09 13:40:46,2.452s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:46,2022-08-09 13:40:49,3.030s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:40:49,2022-08-09 13:40:51,1.660s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:51,2022-08-09 13:40:51,0.029s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:51,2022-08-09 13:55:00,14m - 8.601s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:34,34.187s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:34,2022-08-09 13:55:37,3.037s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:37,2022-08-09 13:55:38,0.743s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:38,0.003s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 14:05:00,9m - 22.078s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:16,16.398s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:16,2022-08-09 14:05:37,20.498s,PASSED
