Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts9,Chrome 103.0.5060.134,,,2022-08-09 13:39:48,2022-08-09 14:05:27,25m - 39.283s,PASSED
,,,,,,,
Test Cases/tc9,Chrome 103.0.5060.134,,,2022-08-09 13:39:51,2022-08-09 14:05:27,25m - 36.306s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:39:54,2022-08-09 13:40:36,41.564s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:36,2022-08-09 13:40:42,5.892s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc9i@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:42,2022-08-09 13:40:48,6.620s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:40:48,2022-08-09 13:41:11,22.719s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:11,2022-08-09 13:41:12,1.200s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:12,2022-08-09 13:41:13,1.077s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:13,2022-08-09 13:41:15,1.170s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:15,2022-08-09 13:41:16,1.188s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:16,2022-08-09 13:41:17,1.546s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0038 0000 0008"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:17,2022-08-09 13:41:19,1.835s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:41:19,2022-08-09 13:41:23,3.867s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:23,2022-08-09 13:41:25,1.623s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:25,2022-08-09 13:41:26,1.723s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:41:26,2022-08-09 13:41:26,0.049s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:26,2022-08-09 13:41:26,0.007s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:26,2022-08-09 13:55:00,13m - 33.219s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:34,34.585s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:34,2022-08-09 13:55:38,3.769s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:38,0.101s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:38,0.004s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 14:05:00,9m - 21.844s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:15,14.669s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:15,2022-08-09 14:05:27,12.574s,PASSED
