Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts8,Chrome 103.0.5060.134,,,2022-08-09 13:39:35,2022-08-09 14:05:32,25m - 56.923s,PASSED
,,,,,,,
Test Cases/tc8,Chrome 103.0.5060.134,,,2022-08-09 13:39:38,2022-08-09 14:05:32,25m - 53.636s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:39:44,2022-08-09 13:40:12,28.484s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:12,2022-08-09 13:40:19,6.661s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc8h@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:19,2022-08-09 13:40:25,6.060s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:40:25,2022-08-09 13:40:41,16.517s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:41,2022-08-09 13:40:45,3.405s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:45,2022-08-09 13:40:46,1.417s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:46,2022-08-09 13:40:50,3.760s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:50,2022-08-09 13:40:53,3.246s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:53,2022-08-09 13:40:56,2.704s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0037 2000 0005"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:56,2022-08-09 13:40:58,1.628s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:40:58,2022-08-09 13:41:02,4.881s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:02,2022-08-09 13:41:03,1.010s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:03,2022-08-09 13:41:05,1.658s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:41:05,2022-08-09 13:41:05,0.061s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:05,2022-08-09 13:41:05,0.014s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:41:05,2022-08-09 13:55:00,13m - 54.813s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:35,35.098s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:35,2022-08-09 13:55:38,3.102s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:39,0.653s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:39,2022-08-09 13:55:39,0.217s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:39,2022-08-09 14:05:00,9m - 21.372s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:25,24.086s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:25,2022-08-09 14:05:31,6.002s,PASSED
