Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts2,Chrome 103.0.5060.134,,,2022-08-09 13:37:51,2022-08-09 14:05:37,27m - 45.592s,PASSED
,,,,,,,
Test Cases/tc2,Chrome 103.0.5060.134,,,2022-08-09 13:37:52,2022-08-09 14:05:37,27m - 44.247s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:37:55,2022-08-09 13:38:09,14.653s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:09,2022-08-09 13:38:13,3.057s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc2b@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:13,2022-08-09 13:38:17,4.073s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:38:17,2022-08-09 13:38:42,25.757s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:42,2022-08-09 13:38:46,3.221s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:46,2022-08-09 13:38:48,2.096s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:48,2022-08-09 13:38:50,2.812s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:50,2022-08-09 13:38:53,2.657s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:53,2022-08-09 13:38:58,4.560s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0024 6000 0001"")",Chrome 103.0.5060.134,,,2022-08-09 13:38:58,2022-08-09 13:38:59,1.755s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:38:59,2022-08-09 13:39:06,6.862s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:06,2022-08-09 13:39:08,2.156s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:08,2022-08-09 13:39:12,3.224s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:39:12,2022-08-09 13:39:13,1.678s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:13,2022-08-09 13:39:13,0.058s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:13,2022-08-09 13:55:00,15m - 46.367s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:34,33.870s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:34,2022-08-09 13:55:37,3.496s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:37,2022-08-09 13:55:38,0.487s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 13:55:38,0.001s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:38,2022-08-09 14:05:00,9m - 22.661s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:25,24.748s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:25,2022-08-09 14:05:36,11.060s,PASSED
